iter	Logloss
0	0.6914748181
1	0.6911932586
2	0.6901802267
3	0.6889635011
4	0.6877532852
5	0.686411397
6	0.6850636423
7	0.6841058058
8	0.6825418184
9	0.6817437279
10	0.6806771802
11	0.6802060525
12	0.6792286439
13	0.6786255638
14	0.6782481789
15	0.6775877725
16	0.6768697522
17	0.6759375848
18	0.6752203123
19	0.674827555
20	0.6743388209
21	0.6734551663
22	0.6724477974
23	0.6717010819
24	0.670880059
25	0.6703694992
26	0.6693914734
27	0.6685702137
28	0.6680763929
29	0.6676367331
30	0.666937955
31	0.6663022414
32	0.6657780522
33	0.6654171534
34	0.664861658
35	0.6638886111
36	0.6631970505
37	0.6628597231
38	0.6624461942
39	0.6615033186
40	0.6609888108
41	0.66047547
42	0.6601283417
43	0.6598409533
44	0.6594108387
45	0.6587582643
46	0.6579459377
47	0.6571227707
48	0.656815439
49	0.6562010856
50	0.6554868472
51	0.6550046961
52	0.6542620623
53	0.653735366
54	0.6529604939
55	0.6522353997
56	0.6517196923
57	0.6514240144
58	0.6510578774
59	0.6504807462
60	0.6499386019
61	0.649599712
62	0.6492111635
63	0.6489247992
64	0.6486767027
65	0.6482993188
66	0.6479424743
67	0.6477523656
68	0.6472022094
69	0.6468414015
70	0.6461694666
71	0.6455712547
72	0.6451432111
73	0.6446576117
74	0.6442134654
75	0.64382116
76	0.64345908
77	0.6434098727
78	0.6431062365
79	0.6427533019
80	0.6423565175
81	0.6419100275
82	0.6415764581
83	0.6408359161
84	0.6404526249
85	0.6401879484
86	0.6395415218
87	0.6390554256
88	0.6383642715
89	0.6379876669
90	0.637564596
91	0.6372218397
92	0.6368078174
93	0.6365529692
94	0.6361930883
95	0.6357020958
96	0.6353427701
97	0.6346708516
98	0.6344970144
99	0.6337978679
100	0.633445916
101	0.6328361356
102	0.6325011059
103	0.6319568808
104	0.6316414836
105	0.631401082
106	0.6311490849
107	0.630919859
108	0.6305531816
109	0.6302888416
110	0.6299468935
111	0.6295578986
112	0.6292538703
113	0.6289114592
114	0.6287285287
115	0.6284500923
116	0.6282220785
117	0.6278339225
118	0.6274608967
119	0.6270612149
120	0.6267871326
121	0.6260950928
122	0.6256581571
123	0.6250559259
124	0.6250428932
125	0.6248847429
126	0.6245009421
127	0.6241722772
128	0.6236138439
129	0.6232694017
130	0.623112039
131	0.6227545892
132	0.6222864613
133	0.6219321111
134	0.6215821463
135	0.6214442323
136	0.6210837798
137	0.6207398524
138	0.6202839832
139	0.6197980428
140	0.6194898465
141	0.6192391445
142	0.6189584088
143	0.6182660723
144	0.6179030374
145	0.6174182034
146	0.6168209444
147	0.6164881291
148	0.6158332525
149	0.6154682896
150	0.6152859083
151	0.6148046973
152	0.6146478053
153	0.6142734923
154	0.6140405861
155	0.6138044343
156	0.6133578731
157	0.6129662059
158	0.6127134839
159	0.6121731326
160	0.6119047377
161	0.6114798294
162	0.6112324206
163	0.6106444359
164	0.6103252203
165	0.6100284055
166	0.609547597
167	0.6092443689
168	0.6087854458
169	0.6085539491
170	0.6081013648
171	0.6077662173
172	0.6075487045
173	0.6069227057
174	0.6065139234
175	0.6060787645
176	0.6055902361
177	0.6051031166
178	0.6047774318
179	0.6041032219
180	0.6033976398
181	0.6032164331
182	0.6027062384
183	0.6024383072
184	0.6020985728
185	0.6014080834
186	0.600975422
187	0.6003252189
188	0.5998422267
189	0.5996872839
190	0.5992191306
191	0.598683878
192	0.5983403687
193	0.5979787055
194	0.5974100095
195	0.5971226955
196	0.5966370967
197	0.5960379717
198	0.5956297788
199	0.5952592901
200	0.5949056472
201	0.5945491104
202	0.593802822
203	0.5932293168
204	0.5928592697
205	0.5925633725
206	0.5922353152
207	0.5918984777
208	0.5914189173
209	0.5909021167
210	0.5905324224
211	0.5901262697
212	0.5894297241
213	0.5887781043
214	0.5884371532
215	0.5880795741
216	0.5877159264
217	0.5874216972
218	0.5869394791
219	0.5864643174
220	0.586301606
221	0.585902079
222	0.5855033017
223	0.5850208612
224	0.5844605105
225	0.5841665054
226	0.583778382
227	0.5835002178
228	0.5829647057
229	0.5824735926
230	0.5819133522
231	0.5816969212
232	0.5812528792
233	0.5809279973
234	0.5803965541
235	0.5800617287
236	0.5795000707
237	0.5789257056
238	0.5785607454
239	0.5781184892
240	0.5778592501
241	0.5773388298
242	0.5766547111
243	0.5763470197
244	0.5755563663
245	0.5751310263
246	0.5746733001
247	0.574224612
248	0.5737976316
249	0.5731691777
